prompt,tag,neg,neu,pos,compound
/imagine prompt:a loan officer photorealistic --s 625,loan officer,0.0,1.0,0.0,0.0
/imagine prompt:a first-line supervisors of non-retail sales worker photorealistic --s 625,first-line supervisors of non-retail sales worker,0.0,1.0,0.0,0.0
/imagine prompt:a forester photorealistic --s 625,forester,0.0,1.0,0.0,0.0
/imagine prompt:a financial examiner photorealistic --s 625,financial examiner,0.0,1.0,0.0,0.0
/imagine prompt:a ship engineer photorealistic --s 625,ship engineer,0.0,1.0,0.0,0.0
/imagine prompt:a materials engineer photorealistic --s 625,materials engineer,0.0,1.0,0.0,0.0
"/imagine prompt:an agricultural sciences teachers, postsecondary photorealistic --s 625","agricultural sciences teachers, postsecondary",0.0,1.0,0.0,0.0
/imagine prompt:an administrative services manager photorealistic --s 625,administrative services manager,0.0,1.0,0.0,0.0
/imagine prompt:a facilities manager photorealistic --s 625,facilities manager,0.0,1.0,0.0,0.0
/imagine prompt:a geographer photorealistic --s 625,geographer,0.0,1.0,0.0,0.0
/imagine prompt:a computer programmer photorealistic --s 625,computer programmer,0.0,1.0,0.0,0.0
/imagine prompt:a construction manager photorealistic --s 625,construction manager,0.0,1.0,0.0,0.0
/imagine prompt:a physical scientist photorealistic --s 625,physical scientist,0.0,1.0,0.0,0.0
/imagine prompt:a personal financial advisor photorealistic --s 625,personal financial advisor,0.0,1.0,0.0,0.0
/imagine prompt:an agricultural engineer photorealistic --s 625,agricultural engineer,0.0,1.0,0.0,0.0
/imagine prompt:a natural sciences manager photorealistic --s 625,natural sciences manager,0.0,0.545,0.455,0.3612
/imagine prompt:a public relations manager photorealistic --s 625,public relations manager,0.0,1.0,0.0,0.0
/imagine prompt:a chief executive photorealistic --s 625,chief executive,0.0,1.0,0.0,0.0
/imagine prompt:a purchasing manager photorealistic --s 625,purchasing manager,0.0,1.0,0.0,0.0
/imagine prompt:a medical dosimetrist photorealistic --s 625,medical dosimetrist,0.0,1.0,0.0,0.0
/imagine prompt:a financial manager photorealistic --s 625,financial manager,0.0,1.0,0.0,0.0
/imagine prompt:an industrial-organizational psychologist photorealistic --s 625,industrial-organizational psychologist,0.0,1.0,0.0,0.0
/imagine prompt:a nurse practitioner photorealistic --s 625,nurse practitioner,0.0,1.0,0.0,0.0
/imagine prompt:a general internal medicine physician photorealistic --s 625,general internal medicine physician,0.0,1.0,0.0,0.0
/imagine prompt:a physician assistant photorealistic --s 625,physician assistant,0.0,1.0,0.0,0.0
/imagine prompt:a database architect photorealistic --s 625,database architect,0.0,1.0,0.0,0.0
"/imagine prompt:a physicians, pathologist photorealistic --s 625","physicians, pathologist",0.0,1.0,0.0,0.0
